Indices Market Data,,,,,
As of 01/07/2024 
Name,Category,Index Code,Last Rate,Change (%),Last Update
TA-35,Market Cap. Indices,142,1972.28,-0.64,End Of Day
TA-125 Fossil Free,Market Cap. Indices,185,1925.57,-0.64,End Of Day
TA-35 Dollar,Equity end-of-day Indices,174,3245.19,-0.48,End Of Day
TA-125,Market Cap. Indices,137,1940.20,-0.70,End Of Day
TA Sector-Balance,Market Cap. Indices,177,2119.35,-0.74,End Of Day
TA-90,Market Cap. Indices,143,1900.26,-0.97,End Of Day
TA-SME60,Market Cap. Indices,147,661.15,0.04,End Of Day
TA-MidCap150,Market Cap. Indices,176,1209.71,-0.88,End Of Day
TA-Growth,Market Cap. Indices,163,1524.66,-0.18,End Of Day
TA-AllShare,Market Cap. Indices,168,1699.21,-0.58,End Of Day
TA-Rimon,Market Cap. Indices,175,1923.31,-0.80,End Of Day
General Shares and Convertibles,Equity end-of-day Indices,001,1416.88,-0.65,End Of Day
Shares,Equity end-of-day Indices,002,1450.96,-0.65,End Of Day
Convertible Bonds,Equity end-of-day Indices,004,1963.20,0.01,End Of Day
Warrants,Equity end-of-day Indices,003,129.86,1.82,End Of Day
Yeter-Rest of Shares,Equity end-of-day Indices,162,2794.29,0.11,End Of Day
TA-125EW,Market Cap. Indices,189,1831.70,-0.89,End Of Day
TA125-Value,Market Cap. Indices,195,1857.87,-0.68,End Of Day
Yeter-Rest of Shares & Convertibles,Equity end-of-day Indices,161,2646.87,0.12,End Of Day
TA-Industrials,Sector Indices,178,1831.14,-0.78,End Of Day
TA Global-BlueTech,Sector Indices,145,408.69,-0.94,End Of Day
TA Tech - Elite,Sector Indices,173,679.34,-1.02,End Of Day
TA-Biomed,Sector Indices,167,117.47,-0.42,End Of Day
Tel Bond-Composite,Tel-Bond Indices,715,384.37,-0.01,End Of Day
Tel-Bond 20,Tel-Bond Indices,707,378.39,-0.03,End Of Day
TA-Oil & Gas,Sector Indices,170,1604.10,-1.13,End Of Day
TA-Energy Utilities,Sector Indices,180,1493.18,-3.58,End Of Day
TA-Communication & InformationTechnology,Sector Indices,172,1204.03,-0.78,End Of Day
Tel-Bond 40,Tel-Bond Indices,708,361.83,-0.06,End Of Day
Tel-Bond 60,Tel-Bond Indices,709,371.53,-0.05,End Of Day
TA-Insurance & Financial Services,Sector Indices,171,2334.58,0.34,End Of Day
TA-Technology,Sector Indices,169,1213.19,-0.90,End Of Day
Tel Bond 100,Tel-Bond Indices,743,375.91,-0.04,End Of Day
TA-Cleantech,Sector Indices,184,589.29,-3.06,End Of Day
Tel Bond 125 Value CPI,Tel-Bond Indices,753,377.61,0.02,End Of Day
Tel Bond-CPI Linked SmallCap,Tel-Bond Indices,712,389.10,0.00,End Of Day
TA-Finance,Sector Indices,148,3269.10,-0.08,End Of Day
Tel Bond-CPI Linked,Tel-Bond Indices,711,377.30,-0.03,End Of Day
Money Market,Tel-Bond Indices,751,432.23,0.05,End Of Day
TA-Banks5,Sector Indices,164,3750.23,-0.61,End Of Day
Tel Bond-CPI Linked 1-3,Tel-Bond Indices,721,374.84,0.11,End Of Day
Tel Bond-CPI Linked 3-5,Tel-Bond Indices,722,372.39,0.00,End Of Day
Tel Bond CPI 5-10,Tel-Bond Indices,749,379.88,-0.14,End Of Day
TA-RealEstate,Sector Indices,149,845.78,-0.57,End Of Day
Tel Bond-CPI Linked 5-15,Tel-Bond Indices,723,378.42,-0.18,End Of Day
TA-Construction,Sector Indices,181,1250.76,-0.49,End Of Day
TA-Investment Properties in Israel,Sector Indices,182,771.41,-0.81,End Of Day
TA-Investment Properties Abroad,Sector Indices,183,583.37,0.95,End Of Day
TA-Insurance,Sector Indices,033,2754.72,0.18,End Of Day
TA-Retail,Sector Indices,188,1141.48,-0.78,End Of Day
Banks Shares and Convertibles,Equity end-of-day Indices,013,4014.59,-0.59,End Of Day
Commerce & Services Shares and Convertibles,Equity end-of-day Indices,041,1405.96,-0.31,End Of Day
RealEstate & Construction Shares and Convertibles,Equity end-of-day Indices,061,1402.90,-0.35,End Of Day
Industry Shares and Convertibles,Equity end-of-day Indices,073,1781.93,-0.32,End Of Day
