Derivatives Data - All Derivatives,,,,,,,,,,,,,,,,,,
As of 30/06/2024
Underlying Asset,Derivative Name,ISIN,Contract Unit,Closing Price (NIS),Volume,Turnover Value (NIS),Transactions,Delta,Last Trade,High,Low,Change (%),Change in Points,Volume in terms of underlying asset (NIS thousands), Open Positions,% Change in positions,Strike Price,Exercise Date
TA-35 Index,T35-C000001D107,IL0850496741,50.00,99130.00,0,0.00,0,100.00,EoD,,,0.42,415.00,0.00,0,0.0,1.00,03/07/2024
TA-35 Index,T35-C001570D107,IL0850564480,50.00,20699.00,0,0.00,0,100.00,EoD,,,1.91,388.00,0.00,0,0.0,1570.00,03/07/2024
TA-35 Index,T35-P001570D107,IL0850572301,50.00,1.00,0,0.00,0,0.00,EoD,,,999999.99,1.00,0.00,0,0.0,1570.00,03/07/2024
TA-35 Index,T35-C001580D107,IL0850539656,50.00,20204.00,0,0.00,0,100.00,EoD,,,1.97,390.00,0.00,0,0.0,1580.00,03/07/2024
TA-35 Index,T35-P001580D107,IL0850539995,50.00,5.00,0,0.00,0,0.00,EoD,,,66.67,2.00,0.00,1,0.0,1580.00,03/07/2024
TA-35 Index,T35-C001590D107,IL0850539730,50.00,19704.00,0,0.00,0,100.00,EoD,,,2.02,390.00,0.00,0,0.0,1590.00,03/07/2024
TA-35 Index,T35-P001590D107,IL0850540050,50.00,5.00,0,0.00,0,0.00,EoD,,,66.67,2.00,0.00,1,0.0,1590.00,03/07/2024
TA-35 Index,T35-C001600D107,IL0850539573,50.00,19199.00,0,0.00,0,100.00,EoD,,,2.06,387.00,0.00,0,0.0,1600.00,03/07/2024
TA-35 Index,T35-P001600D107,IL0850539813,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1600.00,03/07/2024
TA-35 Index,T35-C001610D107,IL0850502928,50.00,18699.00,0,0.00,0,100.00,EoD,,,2.11,387.00,0.00,0,0.0,1610.00,03/07/2024
TA-35 Index,T35-P001610D107,IL0850511184,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1610.00,03/07/2024
TA-35 Index,T35-C001620D107,IL0850498804,50.00,18199.00,0,0.00,0,100.00,EoD,,,2.17,387.00,0.00,0,0.0,1620.00,03/07/2024
TA-35 Index,T35-P001620D107,IL0850507067,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1620.00,03/07/2024
TA-35 Index,T35-C001630D107,IL0850502845,50.00,17699.00,0,0.00,0,100.00,EoD,,,2.24,387.00,0.00,0,0.0,1630.00,03/07/2024
TA-35 Index,T35-P001630D107,IL0850511002,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1630.00,03/07/2024
TA-35 Index,T35-C001640D107,IL0850498721,50.00,17199.00,0,0.00,0,100.00,EoD,,,2.30,386.00,0.00,0,0.0,1640.00,03/07/2024
TA-35 Index,T35-P001640D107,IL0850506986,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1640.00,03/07/2024
TA-35 Index,T35-C001650D107,IL0850502761,50.00,16699.00,0,0.00,0,100.00,EoD,,,2.37,386.00,0.00,0,0.0,1650.00,03/07/2024
TA-35 Index,T35-P001650D107,IL0850510921,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1650.00,03/07/2024
TA-35 Index,T35-C001660D107,IL0850498648,50.00,16200.00,0,0.00,0,100.00,EoD,,,2.45,387.00,0.00,0,0.0,1660.00,03/07/2024
TA-35 Index,T35-P001660D107,IL0850506804,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1660.00,03/07/2024
TA-35 Index,T35-C001670D107,IL0850502688,50.00,15700.00,0,0.00,0,100.00,EoD,,,2.52,386.00,0.00,0,0.0,1670.00,03/07/2024
TA-35 Index,T35-P001670D107,IL0850510848,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1670.00,03/07/2024
TA-35 Index,T35-C001680D107,IL0850498564,50.00,15200.00,0,0.00,0,100.00,EoD,,,2.61,386.00,0.00,0,0.0,1680.00,03/07/2024
TA-35 Index,T35-P001680D107,IL0850506721,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1680.00,03/07/2024
TA-35 Index,T35-C001690D107,IL0850502506,50.00,14700.00,0,0.00,0,100.00,EoD,,,2.70,386.00,0.00,0,0.0,1690.00,03/07/2024
TA-35 Index,T35-P001690D107,IL0850510764,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1690.00,03/07/2024
TA-35 Index,T35-C001700D107,IL0850498499,50.00,14200.00,0,0.00,0,100.00,EoD,,,2.79,385.00,0.00,0,0.0,1700.00,03/07/2024
TA-35 Index,T35-P001700D107,IL0850506648,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1700.00,03/07/2024
TA-35 Index,T35-C001710D107,IL0850502431,50.00,13700.00,0,0.00,0,100.00,EoD,,,2.89,385.00,0.00,0,0.0,1710.00,03/07/2024
TA-35 Index,T35-P001710D107,IL0850510681,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1710.00,03/07/2024
TA-35 Index,T35-C001720D107,IL0850498317,50.00,13200.00,0,0.00,0,100.00,EoD,,,3.00,385.00,0.00,0,0.0,1720.00,03/07/2024
TA-35 Index,T35-P001720D107,IL0850506564,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1720.00,03/07/2024
TA-35 Index,T35-C001730D107,IL0850502357,50.00,12700.00,0,0.00,0,100.00,EoD,,,3.13,385.00,0.00,0,0.0,1730.00,03/07/2024
TA-35 Index,T35-P001730D107,IL0850510509,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1730.00,03/07/2024
TA-35 Index,T35-C001740D107,IL0850498234,50.00,12200.00,0,0.00,0,100.00,EoD,,,3.25,384.00,0.00,0,0.0,1740.00,03/07/2024
TA-35 Index,T35-P001740D107,IL0850506499,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,1740.00,03/07/2024
TA-35 Index,T35-C001750D107,IL0850502274,50.00,11701.00,0,0.00,0,100.00,EoD,,,3.40,385.00,0.00,0,0.0,1750.00,03/07/2024
TA-35 Index,T35-P001750D107,IL0850510434,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,7,0.0,1750.00,03/07/2024
TA-35 Index,T35-C001760D107,IL0850498150,50.00,11201.00,0,0.00,0,100.00,EoD,,,3.56,385.00,0.00,0,0.0,1760.00,03/07/2024
